.identifier_batch	.identifier_sample_name	.metadata_moa	.metadata_treatment_remarks	.metadata_treatment	.response_aoc	.metadata_cancer_type	.metadata_cancer_subtype
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Intercalator	NA	Melphalan	0.47	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Intercalator	NA	Melphalan	0.5379999999999999	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Intercalator	NA	Melphalan	0.447	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Intercalator	NA	Melphalan	0.481	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Intercalator	NA	Melphalan	0.453	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Intercalator	NA	Melphalan	0.484	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Intercalator	NA	Melphalan	0.47	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Intercalator	NA	Melphalan	0.471	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Intercalator	NA	Melphalan	0.36	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Intercalator	NA	Melphalan	0.341	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Intercalator	NA	Melphalan	0.421	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Intercalator	NA	Melphalan	0.453	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Intercalator	NA	Melphalan	0.39	liver	liver
Oncolead_000	ONCOLEAD_CELL_HL60	Cytostatic_Intercalator	NA	Melphalan	0.47	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Intercalator	NA	Melphalan	0.403	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Intercalator	NA	Melphalan	0.39	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Intercalator	NA	Melphalan	0.373	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Intercalator	NA	Melphalan	0.546	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Intercalator	NA	Melphalan	0.421	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Intercalator	NA	Melphalan	0.298	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_KASUMI1	Cytostatic_Intercalator	NA	Melphalan	0.502	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_L363	Cytostatic_Intercalator	NA	Melphalan	0.494	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Intercalator	NA	Melphalan	0.419	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Intercalator	NA	Melphalan	0.46	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Intercalator	NA	Melphalan	0.45	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Intercalator	NA	Melphalan	0.63	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Intercalator	NA	Melphalan	0.5710000000000001	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Intercalator	NA	Melphalan	0.484	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	Cytostatic_Intercalator	NA	Melphalan	0.422	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MINO	Cytostatic_Intercalator	NA	Melphalan	0.499	hematological	heme - mantle cell lymphoma
Oncolead_000	ONCOLEAD_CELL_MT3	Cytostatic_Intercalator	NA	Melphalan	0.464	colon	colon
Oncolead_000	ONCOLEAD_CELL_MV411	Cytostatic_Intercalator	NA	Melphalan	0.585	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_NCIH292	Cytostatic_Intercalator	NA	Melphalan	0.421	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	Cytostatic_Intercalator	NA	Melphalan	0.366	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	Cytostatic_Intercalator	NA	Melphalan	0.417	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	Cytostatic_Intercalator	NA	Melphalan	0.488	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	Cytostatic_Intercalator	NA	Melphalan	0.51	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	Cytostatic_Intercalator	NA	Melphalan	0.443	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_PANC1	Cytostatic_Intercalator	NA	Melphalan	0.468	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_PC3	Cytostatic_Intercalator	NA	Melphalan	0.502	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_PLCPRF5	Cytostatic_Intercalator	NA	Melphalan	0.395	liver	liver
Oncolead_000	ONCOLEAD_CELL_RAMOS	Cytostatic_Intercalator	NA	Melphalan	0.46	hematological	heme - burkitt lymphoma
Oncolead_000	ONCOLEAD_CELL_RD	Cytostatic_Intercalator	NA	Melphalan	0.439	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_RDES	Cytostatic_Intercalator	NA	Melphalan	0.473	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_SAOS2	Cytostatic_Intercalator	NA	Melphalan	0.421	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_SF268	Cytostatic_Intercalator	NA	Melphalan	0.44	brain	brain - astrocytoma
Oncolead_000	ONCOLEAD_CELL_SF295	Cytostatic_Intercalator	NA	Melphalan	0.371	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_SKBR3	Cytostatic_Intercalator	NA	Melphalan	0.501	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_SKMEL28	Cytostatic_Intercalator	NA	Melphalan	0.37	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SKMEL5	Cytostatic_Intercalator	NA	Melphalan	0.431	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SUDHL10	Cytostatic_Intercalator	NA	Melphalan	0.408	hematological	heme - DLBCL
Oncolead_000	ONCOLEAD_CELL_SUDHL6	Cytostatic_Intercalator	NA	Melphalan	0.485	hematological	heme - DLBCL
Oncolead_000	ONCOLEAD_CELL_SW620	Cytostatic_Intercalator	NA	Melphalan	0.503	colon	colon
Oncolead_000	ONCOLEAD_CELL_T24	Cytostatic_Intercalator	NA	Melphalan	0.46	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_TE671	Cytostatic_Intercalator	NA	Melphalan	0.471	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_THP1	Cytostatic_Intercalator	NA	Melphalan	0.482	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_U2OS	Cytostatic_Intercalator	NA	Melphalan	0.368	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_U87MG	Cytostatic_Intercalator	NA	Melphalan	0.42	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_UMUC3	Cytostatic_Intercalator	NA	Melphalan	0.423	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_WSUNHL	Cytostatic_Intercalator	NA	Melphalan	0.451	hematological	heme - NHL
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Antimetabolite	NA	Fluorouracil	0.4	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Antimetabolite	NA	Fluorouracil	0.443	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Antimetabolite	NA	Fluorouracil	0.429	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.391	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Antimetabolite	NA	Fluorouracil	0.34	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Antimetabolite	NA	Fluorouracil	0.374	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Antimetabolite	NA	Fluorouracil	0.423	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.388	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Antimetabolite	NA	Fluorouracil	0.369	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Antimetabolite	NA	Fluorouracil	0.248	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Antimetabolite	NA	Fluorouracil	0.38	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Antimetabolite	NA	Fluorouracil	0.376	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Antimetabolite	NA	Fluorouracil	0.401	liver	liver
Oncolead_000	ONCOLEAD_CELL_HL60	Cytostatic_Antimetabolite	NA	Fluorouracil	0.349	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Antimetabolite	NA	Fluorouracil	0.318	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Antimetabolite	NA	Fluorouracil	0.273	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Antimetabolite	NA	Fluorouracil	0.369	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.387	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Antimetabolite	NA	Fluorouracil	0.345	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.327	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_KASUMI1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.25	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_L363	Cytostatic_Antimetabolite	NA	Fluorouracil	0.421	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Antimetabolite	NA	Fluorouracil	0.423	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Antimetabolite	NA	Fluorouracil	0.34	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Antimetabolite	NA	Fluorouracil	0.408	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Antimetabolite	NA	Fluorouracil	0.377	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Antimetabolite	NA	Fluorouracil	0.333	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.349	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	Cytostatic_Antimetabolite	NA	Fluorouracil	0.418	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MINO	Cytostatic_Antimetabolite	NA	Fluorouracil	0.339	hematological	heme - mantle cell lymphoma
Oncolead_000	ONCOLEAD_CELL_MT3	Cytostatic_Antimetabolite	NA	Fluorouracil	0.378	colon	colon
Oncolead_000	ONCOLEAD_CELL_MV411	Cytostatic_Antimetabolite	NA	Fluorouracil	0.475	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_NCIH292	Cytostatic_Antimetabolite	NA	Fluorouracil	0.365	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	Cytostatic_Antimetabolite	NA	Fluorouracil	0.375	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	Cytostatic_Antimetabolite	NA	Fluorouracil	0.401	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	Cytostatic_Antimetabolite	NA	Fluorouracil	0.337	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	Cytostatic_Antimetabolite	NA	Fluorouracil	0.397	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	Cytostatic_Antimetabolite	NA	Fluorouracil	0.404	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_PANC1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.352	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_PC3	Cytostatic_Antimetabolite	NA	Fluorouracil	0.365	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_PLCPRF5	Cytostatic_Antimetabolite	NA	Fluorouracil	0.346	liver	liver
Oncolead_000	ONCOLEAD_CELL_RAMOS	Cytostatic_Antimetabolite	NA	Fluorouracil	0.365	hematological	heme - burkitt lymphoma
Oncolead_000	ONCOLEAD_CELL_RD	Cytostatic_Antimetabolite	NA	Fluorouracil	0.324	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_RDES	Cytostatic_Antimetabolite	NA	Fluorouracil	0.332	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_SAOS2	Cytostatic_Antimetabolite	NA	Fluorouracil	0.34	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_SF268	Cytostatic_Antimetabolite	NA	Fluorouracil	0.339	brain	brain - astrocytoma
Oncolead_000	ONCOLEAD_CELL_SF295	Cytostatic_Antimetabolite	NA	Fluorouracil	0.311	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_SKBR3	Cytostatic_Antimetabolite	NA	Fluorouracil	0.487	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_SKMEL28	Cytostatic_Antimetabolite	NA	Fluorouracil	0.284	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SKMEL5	Cytostatic_Antimetabolite	NA	Fluorouracil	0.407	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SUDHL10	Cytostatic_Antimetabolite	NA	Fluorouracil	0.3	hematological	heme - DLBCL
Oncolead_000	ONCOLEAD_CELL_SUDHL6	Cytostatic_Antimetabolite	NA	Fluorouracil	0.318	hematological	heme - DLBCL
Oncolead_000	ONCOLEAD_CELL_SW620	Cytostatic_Antimetabolite	NA	Fluorouracil	0.338	colon	colon
Oncolead_000	ONCOLEAD_CELL_T24	Cytostatic_Antimetabolite	NA	Fluorouracil	0.387	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_TE671	Cytostatic_Antimetabolite	NA	Fluorouracil	0.341	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_THP1	Cytostatic_Antimetabolite	NA	Fluorouracil	0.3720000000000001	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_U2OS	Cytostatic_Antimetabolite	NA	Fluorouracil	0.387	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_U87MG	Cytostatic_Antimetabolite	NA	Fluorouracil	0.428	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_UMUC3	Cytostatic_Antimetabolite	NA	Fluorouracil	0.362	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_WSUNHL	Cytostatic_Antimetabolite	NA	Fluorouracil	0.404	hematological	heme - NHL
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Antimetabolite	NA	Gemcitabine	0.809	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Antimetabolite	NA	Gemcitabine	0.807	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Antimetabolite	NA	Gemcitabine	0.727	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.696	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Antimetabolite	NA	Gemcitabine	0.759	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Antimetabolite	NA	Gemcitabine	0.652	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Antimetabolite	NA	Gemcitabine	0.654	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.72	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Antimetabolite	NA	Gemcitabine	0.745	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Antimetabolite	NA	Gemcitabine	0.6709999999999999	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Antimetabolite	NA	Gemcitabine	0.772	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7440000000000001	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Antimetabolite	NA	Gemcitabine	0.773	liver	liver
Oncolead_000	ONCOLEAD_CELL_HL60	Cytostatic_Antimetabolite	NA	Gemcitabine	0.789	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Antimetabolite	NA	Gemcitabine	0.737	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Antimetabolite	NA	Gemcitabine	0.708	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Antimetabolite	NA	Gemcitabine	0.726	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.747	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Antimetabolite	NA	Gemcitabine	0.657	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.735	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_KASUMI1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.725	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_L363	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7490000000000001	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7559999999999999	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Antimetabolite	NA	Gemcitabine	0.777	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Antimetabolite	NA	Gemcitabine	0.772	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Antimetabolite	NA	Gemcitabine	0.784	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7829999999999999	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7709999999999999	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	Cytostatic_Antimetabolite	NA	Gemcitabine	0.736	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MINO	Cytostatic_Antimetabolite	NA	Gemcitabine	0.8	hematological	heme - mantle cell lymphoma
Oncolead_000	ONCOLEAD_CELL_MT3	Cytostatic_Antimetabolite	NA	Gemcitabine	0.762	colon	colon
Oncolead_000	ONCOLEAD_CELL_MV411	Cytostatic_Antimetabolite	NA	Gemcitabine	0.813	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_NCIH292	Cytostatic_Antimetabolite	NA	Gemcitabine	0.74	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	Cytostatic_Antimetabolite	NA	Gemcitabine	0.623	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	Cytostatic_Antimetabolite	NA	Gemcitabine	0.72	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7390000000000001	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7120000000000001	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	Cytostatic_Antimetabolite	NA	Gemcitabine	0.6779999999999999	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_PANC1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.545	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_PC3	Cytostatic_Antimetabolite	NA	Gemcitabine	0.685	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_PLCPRF5	Cytostatic_Antimetabolite	NA	Gemcitabine	0.695	liver	liver
Oncolead_000	ONCOLEAD_CELL_RAMOS	Cytostatic_Antimetabolite	NA	Gemcitabine	0.715	hematological	heme - burkitt lymphoma
Oncolead_000	ONCOLEAD_CELL_RD	Cytostatic_Antimetabolite	NA	Gemcitabine	0.691	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_RDES	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7509999999999999	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_SAOS2	Cytostatic_Antimetabolite	NA	Gemcitabine	0.8170000000000001	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_SF268	Cytostatic_Antimetabolite	NA	Gemcitabine	0.733	brain	brain - astrocytoma
Oncolead_000	ONCOLEAD_CELL_SF295	Cytostatic_Antimetabolite	NA	Gemcitabine	0.691	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_SKBR3	Cytostatic_Antimetabolite	NA	Gemcitabine	0.8290000000000001	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_SKMEL28	Cytostatic_Antimetabolite	NA	Gemcitabine	0.698	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SKMEL5	Cytostatic_Antimetabolite	NA	Gemcitabine	0.711	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SUDHL10	Cytostatic_Antimetabolite	NA	Gemcitabine	0.631	hematological	heme - DLBCL
Oncolead_000	ONCOLEAD_CELL_SUDHL6	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7040000000000001	hematological	heme - DLBCL
Oncolead_000	ONCOLEAD_CELL_SW620	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7659999999999999	colon	colon
Oncolead_000	ONCOLEAD_CELL_T24	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7959999999999999	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_TE671	Cytostatic_Antimetabolite	NA	Gemcitabine	0.643	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_THP1	Cytostatic_Antimetabolite	NA	Gemcitabine	0.784	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_U2OS	Cytostatic_Antimetabolite	NA	Gemcitabine	0.737	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_U87MG	Cytostatic_Antimetabolite	NA	Gemcitabine	0.7190000000000001	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_UMUC3	Cytostatic_Antimetabolite	NA	Gemcitabine	0.716	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_WSUNHL	Cytostatic_Antimetabolite	NA	Gemcitabine	0.6990000000000001	hematological	heme - NHL
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.353	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.506	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.426	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.387	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.454	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.508	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.391	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.33	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.294	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.355	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.381	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.369	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.49	liver	liver
Oncolead_000	ONCOLEAD_CELL_HL60	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.415	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.306	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.32	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.302	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.426	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.334	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.379	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_KASUMI1	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.445	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_L363	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.39	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.441	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.37	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.376	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.488	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.469	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Platinumanalogue	NA	Oxaliplatin	0.306	sarcoma	sarcoma - ewings
