experiment	freq
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_KASUMI1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_LOVO', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MDAMB435', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'PD0332991_Palbociclib', 'M3541'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MIAPACA2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_MV411', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_NCIH460', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_PANC1', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_RAMOS', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_SAOS2', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'M3541', 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_U2OS', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'PD0332991_Palbociclib', 'M3541'})	2
frozenset({nan, 'M3541', 'ONCOLEAD_CELL_WSUNHL', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A204', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A549', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_ASPC1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_BXPC3', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_COLO205', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_DU145', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HEPG2', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_HT29', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_IGROV1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_KASUMI1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_LOVO', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MDAMB435', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'M3814', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MIAPACA2', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MV411', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_NCIH460', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_PANC1', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_RAMOS', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_SAOS2', 'M3814'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'M3814', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_U2OS', 'M3814'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'M3814', 'PD0332991_Palbociclib'})	2
frozenset({nan, 'PD0332991_Palbociclib', 'ONCOLEAD_CELL_WSUNHL', 'M3814'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A204', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_A549', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_ASPC1', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_BXPC3', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_COLO205'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_DU145'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_HEPG2'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_HT1080'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_HT29'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_IGROV1', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_KASUMI1', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'ONCOLEAD_CELL_LOVO', 'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({'ONCOLEAD_CELL_MDAMB435', 'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MHHES1', 'M3814_M3541', '300nM_500nM'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MIAPACA2', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_MV411', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'PD0332991_Palbociclib', 'ONCOLEAD_CELL_NCIH460', '300nM_500nM', 'M3814_M3541'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_PANC1'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_RAMOS'})	2
frozenset({'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM', 'ONCOLEAD_CELL_RDES'})	2
frozenset({'ONCOLEAD_CELL_SAOS2', 'PD0332991_Palbociclib', 'M3814_M3541', '300nM_500nM'})	2
