experiment	freq
frozenset({nan, 'ONCOLEAD_CELL_MDAMB435', 'Gemcitabine'})	4
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_MDAMB436'})	4
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_MDAMB468'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_MINO', 'Gemcitabine'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_MT3'})	2
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'Gemcitabine'})	4
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_NCIH292'})	2
frozenset({nan, 'ONCOLEAD_CELL_NCIH358M', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_NCIH82', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_OVCAR3', 'Gemcitabine'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_OVCAR4'})	2
frozenset({nan, 'ONCOLEAD_CELL_PANC1', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_PC3', 'Gemcitabine'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_PLCPRF5'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_RAMOS'})	4
frozenset({nan, 'ONCOLEAD_CELL_RD', 'Gemcitabine'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_RDES'})	4
frozenset({nan, 'ONCOLEAD_CELL_SAOS2', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_SF268', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_SF295', 'Gemcitabine'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_SKBR3'})	2
frozenset({nan, 'ONCOLEAD_CELL_SKMEL28', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_SKMEL5', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_SUDHL10', 'Gemcitabine'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_SUDHL6'})	2
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_SW620'})	4
frozenset({nan, 'ONCOLEAD_CELL_T24', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_TE671', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_THP1', 'Gemcitabine'})	2
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Gemcitabine'})	4
frozenset({nan, 'Gemcitabine', 'ONCOLEAD_CELL_UMUC3'})	2
frozenset({nan, 'ONCOLEAD_CELL_WSUNHL', 'Gemcitabine'})	4
frozenset({nan, 'ONCOLEAD_CELL_A204', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_COLO205'})	3
frozenset({nan, 'ONCOLEAD_CELL_DU145', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_HEPG2'})	3
frozenset({nan, 'ONCOLEAD_CELL_HL60', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_HT29'})	3
frozenset({nan, 'ONCOLEAD_CELL_IGROV1', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_LOVO', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_MDAMB231'})	3
frozenset({nan, 'ONCOLEAD_CELL_MDAMB435', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_MDAMB436'})	3
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_PANC1', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_RAMOS'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_RDES'})	3
frozenset({nan, 'ONCOLEAD_CELL_SAOS2', 'Oxaliplatin'})	3
frozenset({nan, 'Oxaliplatin', 'ONCOLEAD_CELL_SW620'})	3
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Oxaliplatin'})	3
frozenset({nan, 'ONCOLEAD_CELL_WSUNHL', 'Oxaliplatin'})	3
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_A204'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_A2780'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_A549'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_ASPC1'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_BXPC3'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_CACO2'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_COLO205'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_DLD1'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_DU145'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_EFO21'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_EJ28'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_HCT15'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_HEPG2'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_HL60'})	3
frozenset({nan, 'ONCOLEAD_CELL_HS578T', 'Topotecan'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_HS729'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_HT29'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_IGROV1'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_J82'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_JIMT1'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_LOVO'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MDAMB231'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MDAMB435'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MDAMB436'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MDAMB468'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Topotecan'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MIAPACA2'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MINO'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MT3'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_MV411'})	3
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_NCIH292'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_NCIH358M'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_NCIH460'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_NCIH82'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_OVCAR3'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_OVCAR4'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_PANC1'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_PC3'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_PLCPRF5'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_RAMOS'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_RD'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_RDES'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SAOS2'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SF268'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SF295'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SKBR3'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SKMEL28'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SKMEL5'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_SW620'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_T24'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_TE671'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_U2OS'})	4
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Topotecan'})	4
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_UMUC3'})	2
frozenset({nan, 'Topotecan', 'ONCOLEAD_CELL_WSUNHL'})	3
frozenset({nan, 'ONCOLEAD_CELL_A204', 'Doxorubicin'})	2
